noise_std,zeta,mean_true_iae,std_true_iae,p10_true_iae,median_true_iae,p90_true_iae,mean_observed_iae,std_observed_iae,p10_observed_iae,median_observed_iae,p90_observed_iae
0.0,0.15,0.40200116386544466,1.6653345369377348e-16,0.4020011638654445,0.4020011638654445,0.4020011638654445,0.40200116386544466,1.6653345369377348e-16,0.4020011638654445,0.4020011638654445,0.4020011638654445
0.0,0.25,1.112256774494634,2.220446049250313e-16,1.1122567744946337,1.1122567744946337,1.1122567744946337,1.112256774494634,2.220446049250313e-16,1.1122567744946337,1.1122567744946337,1.1122567744946337
0.0,0.4,2.8416517928196314,4.440892098500626e-16,2.841651792819632,2.841651792819632,2.841651792819632,2.8416517928196314,4.440892098500626e-16,2.841651792819632,2.841651792819632,2.841651792819632
0.0,0.55,5.3565883877578715,8.881784197001252e-16,5.356588387757871,5.356588387757871,5.356588387757871,5.3565883877578715,8.881784197001252e-16,5.356588387757871,5.356588387757871,5.356588387757871
0.0,0.707,8.814562940646454,0.0,8.814562940646454,8.814562940646454,8.814562940646454,8.814562940646454,0.0,8.814562940646454,8.814562940646454,8.814562940646454
0.0,1.0,17.44650766787291,3.552713678800501e-15,17.446507667872908,17.446507667872908,17.446507667872908,17.44650766787291,3.552713678800501e-15,17.446507667872908,17.446507667872908,17.446507667872908
0.02,0.15,1.4269129803007545,0.0811546981438808,1.3178423452719938,1.4261860680802452,1.5237287630952154,2.7833620250856432,0.06142865840904889,2.708554808288649,2.781653055256709,2.8547570833081717
0.02,0.25,1.2561781170579032,0.052253352442748126,1.1862089683736472,1.2581652978813864,1.3163001524614957,2.6925478616506267,0.04386394158353795,2.644689733351701,2.6869057847260045,2.750376695995935
0.02,0.4,2.8318122869881037,0.0582422893098077,2.7604415746601125,2.8314410763375806,2.9030668248193217,3.439791550930016,0.029821276514250983,3.40238207313783,3.436966090030031,3.4788885320017893
0.02,0.55,5.347196233768543,0.05840539010855978,5.273564178630191,5.347159018069716,5.417739167550768,5.466720301719709,0.014155822294905746,5.44926390214547,5.465216846328827,5.4839355448032245
0.02,0.707,8.805239048244383,0.05834715179584266,8.733021902718932,8.806585438051213,8.875758790002088,8.826156079907863,0.007438737696946927,8.815251819194073,8.827207472974383,8.834816917799493
0.02,1.0,17.436902802144473,0.057631911395879955,17.366697451492186,17.43957506032249,17.509814934970343,17.452952238016863,0.008711717518976068,17.441728136258533,17.45271311675814,17.463462996616936
0.04,0.15,2.7202271630089156,0.15538593000072048,2.5426046696018023,2.7110051347319377,2.9332852018641407,5.480514434903293,0.12086671821481804,5.324752567958759,5.474407145811629,5.621814997827928
0.04,0.25,1.8535226779023688,0.10011438050197471,1.739536596908288,1.8516834627415573,1.9927492065921006,5.116977504838519,0.08956958571217266,5.000000760187804,5.102602023469045,5.234923806457955
0.04,0.4,2.8525965716441433,0.10727817369507535,2.705229086946163,2.8488744704348097,3.02361081287411,5.40010968671061,0.0714229282122715,5.304065520620566,5.404492618022283,5.486794709229976
0.04,0.55,5.354640147355349,0.1119199494831204,5.206412893948074,5.3571884960624825,5.531255918735811,6.622054968754901,0.053174512537706116,6.5509250165522825,6.626503158239871,6.689224167227502
0.04,0.707,8.813559680825696,0.11185277521011454,8.662754952461164,8.814851588685073,8.987969928040103,9.228441617277223,0.034515116983384005,9.178940572295149,9.228583596466816,9.27212951017197
0.04,1.0,17.44690599295666,0.10979296349557889,17.291492816947788,17.442930586637583,17.60878919045198,17.479832240379082,0.016897424610665693,17.46492152453111,17.478247543584356,17.501346377709417
0.08,0.15,5.511500809094081,0.307975427815083,5.078182946422843,5.575628271018596,5.908143726698119,11.009149361535071,0.23584004502377162,10.714461436690312,11.053068821233694,11.328085172404252
0.08,0.25,3.3764629588249084,0.21534281228498992,3.104346056404796,3.370573932794466,3.5847033921413973,10.141559472864564,0.18040735643632325,9.935817256400012,10.161825196385852,10.372114288840951
0.08,0.4,3.207420147788334,0.18345554097587988,2.9857234090369733,3.2046361246798334,3.4417947591793303,10.05226538673684,0.15814251166636906,9.865327951086217,10.036356616457597,10.244589348882123
0.08,0.55,5.385760304788762,0.22823993680525426,5.100222841433984,5.40467764022131,5.648127835887846,10.629674924311924,0.1439064768120545,10.475605633833528,10.621579813913698,10.797367180371555
0.08,0.707,8.840144258974549,0.22977168239228993,8.5636988217994,8.860311023154546,9.093501214735557,12.1335741978068,0.12464783696467183,11.986320681678649,12.115070997033836,12.296962704690522
0.08,1.0,17.472768431317224,0.22787670519145517,17.206576661075797,17.495720667817594,17.733762550197735,18.332317766649926,0.07538102110876319,18.25197555529931,18.33288889421813,18.441712008540307
0.12,0.15,8.149391594761935,0.4195829371289429,7.662955003683054,8.12997300522402,8.73772201428027,16.401974737903497,0.3524286300169369,15.879895983420894,16.40967161064948,16.77633278906058
0.12,0.25,5.064726267975853,0.32432655914233943,4.687841337714007,5.0713674677354525,5.512848348724298,15.14438016353685,0.2528789882321478,14.846960094779131,15.153941449583876,15.454983941650596
0.12,0.4,3.9650637533443107,0.24082617225244932,3.6641947053010733,3.9655066304202022,4.249866028020479,14.827499356510838,0.25193780996092735,14.500537375722272,14.872479649819788,15.130905447507484
0.12,0.55,5.488945215111618,0.32259890817223474,5.059421029395907,5.52200300663737,5.896539074436622,15.133221499099685,0.25269720720500904,14.803237017331954,15.178875378358617,15.447602317931912
0.12,0.707,8.892402689181552,0.3399394838070757,8.44316467500447,8.928669156991974,9.307165584647999,16.134583979883676,0.23821952128248958,15.82802280575534,16.184171755335644,16.43033115035901
0.12,1.0,17.520095640592693,0.3310895637659111,17.093237296161956,17.571051335990138,17.940100305530866,20.716666708374103,0.17729743690507008,20.488542802397596,20.717085445151646,20.915996644190397
0.16,0.15,10.94090036702112,0.6334095867320166,10.121334631411342,10.938975731560888,11.793681117687555,21.821699275019707,0.42282414998502044,21.32514623819252,21.84936295232636,22.347111315894516
0.16,0.25,6.667336963159164,0.42134767041902615,6.181136393129491,6.6479674113716705,7.156980959580867,20.200411566834315,0.2954760473583779,19.845443823304553,20.204606862544658,20.573194714342787
0.16,0.4,4.731752601365767,0.35805755796536515,4.321211198952796,4.702254785381714,5.218746408898872,19.64800426559507,0.2721981315865526,19.345754751367544,19.641468842479213,19.91938025889111
0.16,0.55,5.649849152713591,0.440805181245014,5.180402307636381,5.610564770155952,6.218643863289824,19.78982035971345,0.26258748100309803,19.4806134755217,19.788763547549856,20.05915483073465
0.16,0.707,8.826229539234692,0.5025794073660017,8.29545280286017,8.767774882082353,9.512388216828931,20.514838547291085,0.254107110973546,20.217032445990295,20.503136096116087,20.810806570386756
0.16,1.0,17.458632507578923,0.49124324865940683,16.965712713398762,17.41377677987698,18.110913047986116,24.08778228421713,0.21693465045295784,23.82242676192737,24.080705071407877,24.41769748443563
0.2,0.15,13.793161592539821,0.7831525937468475,12.953569760817379,13.681955769297943,15.027536787597246,27.558946642070108,0.5829015784947719,26.950539108099974,27.615691063228944,28.395700918021735
0.2,0.25,8.288663660416885,0.5515862473646059,7.622117129904644,8.221441906696983,8.975815031582847,25.3293205200134,0.4098018835300177,24.842822866557295,25.342401323587815,25.860366392768007
0.2,0.4,5.632700076218201,0.4102614022603475,5.146469156843285,5.569093475094928,6.158862798903485,24.61856429413435,0.38690934699445995,24.10946922884121,24.663697496512366,25.099688867417118
0.2,0.55,5.891890296618562,0.4275387711826578,5.363942247359804,5.871739637638987,6.448863641434971,24.641311783152553,0.372572546690214,24.177549770543692,24.666841372358967,25.119669548380195
0.2,0.707,8.767560336064054,0.5289134115992169,8.102896924796397,8.77634627273058,9.408977925904408,25.171767997478362,0.3545933448294839,24.736049121303672,25.200237765778773,25.611398571651723
0.2,1.0,17.38346800031803,0.5346201576486714,16.721378160975654,17.37564081569682,18.060296716584528,28.023998752453995,0.3224706889614368,27.582683824508518,28.040576182431018,28.349699422558924
