pair_name,left_zeta,right_zeta,noise_std,noise_power,clean_advantage_iae,mean_true_gap_iae,ci_true_gap_iae_low,ci_true_gap_iae_high,mean_observed_gap_iae,ci_observed_gap_iae_low,ci_observed_gap_iae_high,mean_parity_ratio_iae,ci_parity_ratio_iae_low,ci_parity_ratio_iae_high,mean_observed_minus_true_gap,true_winner_probability_left,observed_winner_probability_left,inversion_probability,ci_inversion_probability_low,ci_inversion_probability_high,mean_occupancy_ratio,mean_occupancy_difference
0.15_vs_0.707,0.15,0.707,0.0,0.0,6.940875909927004,6.940875909927004,6.940875909927004,6.940875909927004,6.940875909927004,6.940875909927004,6.940875909927004,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0
0.25_vs_0.707,0.25,0.707,0.0,0.0,6.356317498756673,6.356317498756673,6.356317498756673,6.356317498756673,6.356317498756673,6.356317498756673,6.356317498756673,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0
0.35_vs_0.707,0.35,0.707,0.0,0.0,5.474601947547314,5.474601947547314,5.474601947547314,5.474601947547314,5.474601947547314,5.474601947547314,5.474601947547314,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0
0.15_vs_0.707,0.15,0.707,0.01,0.0001,6.940875909927004,6.623492370206424,6.616302498072691,6.630649910881526,5.915347910883677,5.910660192083744,5.919530584808069,0.04572672726602833,0.044651183966050396,0.046858370309788275,-0.7081444593227466,1.0,1.0,0.0,0.0,0.0,15.941986039705217,0.0003828348175059062
0.25_vs_0.707,0.25,0.707,0.01,0.0001,6.356317498756673,6.344122542795988,6.34274197431194,6.345376342146288,5.804180139375471,5.800990039819206,5.806932775753083,0.001918556768611563,0.001707800345122745,0.0021291030431586115,-0.5399424034205181,1.0,1.0,0.0,0.0,0.0,6.129015167249007,0.00013141262348398885
0.35_vs_0.707,0.35,0.707,0.01,0.0001,5.474601947547314,5.474501232405551,5.474152372255911,5.474881762016462,5.27735422412981,5.275394782670706,5.279174262625117,1.839679719712275e-05,-5.4159634745447014e-05,8.605093184060215e-05,-0.1971470082757413,1.0,1.0,0.0,0.0,0.0,3.349771818183768,6.0204477691551356e-05
0.15_vs_0.707,0.15,0.707,0.02,0.0004,6.940875909927004,6.0608624212940265,6.044812965796549,6.075473135884053,4.629082383395133,4.6214907774500755,4.636328029157288,0.12678709431677926,0.12476697984651179,0.12919754881251894,-1.4317800378988939,1.0,1.0,0.0,0.0,0.0,15.941986039705217,0.0015313392700236248
0.25_vs_0.707,0.25,0.707,0.02,0.0004,6.356317498756673,6.186753902171847,6.180378243025254,6.19287416935786,4.686408504016434,4.681232676057984,4.692226956803138,0.02667638874521187,0.02560939774157853,0.027683294020595474,-1.5003453981554122,1.0,1.0,0.0,0.0,0.0,6.129015167249007,0.0005256504939359554
0.35_vs_0.707,0.35,0.707,0.02,0.0004,5.474601947547314,5.472016271218188,5.470852253827738,5.4728849842347795,4.422051296010896,4.417775060578387,4.426737989025731,0.0004723039873767862,0.0003027660634784002,0.0006543346688260785,-1.0499649752072917,1.0,1.0,0.0,0.0,0.0,3.349771818183768,0.00024081791076620542
0.15_vs_0.707,0.15,0.707,0.03,0.0009,6.940875909927004,5.490034466805382,5.466045120279779,5.513415508946681,3.516940002423426,3.50564519034975,3.529759847363371,0.20902858111129652,0.20587495962147656,0.21233119223373081,-1.9730944643819561,1.0,1.0,0.0,0.0,0.0,15.941986039705217,0.003445513357553155
0.25_vs_0.707,0.25,0.707,0.03,0.0009,6.356317498756673,5.930582983463338,5.918567398873651,5.943194188275105,3.696118595891825,3.6879462551399236,3.703881403260385,0.06697817020257554,0.06501482411002803,0.06873004593886832,-2.2344643875715136,1.0,1.0,0.0,0.0,0.0,6.129015167249007,0.0011827136113558988
0.35_vs_0.707,0.35,0.707,0.03,0.0009,5.474601947547314,5.43548825558058,5.43174849819972,5.438880528630492,3.548939403036282,3.5421593448978586,3.55506255645579,0.007144572763734623,0.006468700320759935,0.007858206720651852,-1.8865488525442986,1.0,1.0,0.0,0.0,0.0,3.349771818183767,0.0005418402992239618
0.15_vs_0.707,0.15,0.707,0.04,0.0016,6.940875909927004,4.902809047794583,4.873703420809819,4.932013948717561,2.672299558608709,2.658820900376204,2.686710301148627,0.29363251678617813,0.28943035680567414,0.29745738842038044,-2.230509489185873,1.0,1.0,0.0,0.0,0.0,15.941986039705217,0.006125357080094499
0.25_vs_0.707,0.25,0.707,0.04,0.0016,6.356317498756673,5.616697693017553,5.600068112796191,5.635315385164414,2.936813804764264,2.92816794905451,2.94555053029918,0.11635979572823302,0.11357890723345025,0.11896499472495299,-2.679883888253289,1.0,1.0,0.0,0.0,0.0,6.129015167249007,0.0021026019757438216
0.35_vs_0.707,0.35,0.707,0.04,0.0016,5.474601947547314,5.348068965373999,5.341315514259785,5.355309011621703,2.8689236879318996,2.861732919429954,2.8759490863714228,0.02311272735180394,0.021822086310640785,0.02444236813049435,-2.4791452774421,1.0,1.0,0.0,0.0,0.0,3.349771818183768,0.0009632716430648217
0.15_vs_0.707,0.15,0.707,0.05,0.0025000000000000005,6.940875909927004,4.286941601460209,4.249543651849717,4.3249030576068686,2.001221956215982,1.983769066241819,2.0187537030030525,0.3823630249131921,0.37721148094224444,0.38830407550325624,-2.2857196452442268,1.0,1.0,0.0,0.0,0.0,15.941986039705217,0.009570870437647655
0.25_vs_0.707,0.25,0.707,0.05,0.0025000000000000005,6.356317498756673,5.273760641489541,5.247673324400801,5.303241094540359,2.3634056125516194,2.3523721817467957,2.3744184119516647,0.17031195459932344,0.16634596293159523,0.17439631139617595,-2.9103550289379214,1.0,1.0,0.0,0.0,0.0,6.129015167249007,0.00328531558709972
0.35_vs_0.707,0.35,0.707,0.05,0.0025000000000000005,5.474601947547314,5.194909814439506,5.180443402103485,5.209481298636598,2.3534114396050096,2.344820455852217,2.362386764601299,0.05108903547464568,0.04849567783730696,0.05378216326507905,-2.841498374834496,1.0,1.0,0.0,0.0,0.0,3.349771818183767,0.0015051119422887832
0.15_vs_0.707,0.15,0.707,0.06,0.0036,6.940875909927004,3.741685254483994,3.6981213995988367,3.7819285171740953,1.5143491720070437,1.4934257486441884,1.5320149384419475,0.46092030702745335,0.45445916893227867,0.46701246723679746,-2.22733608247695,1.0,1.0,0.0,0.0,0.0,15.941986039705217,0.01378205343021262
0.25_vs_0.707,0.25,0.707,0.06,0.0036,6.356317498756673,4.941514656426616,4.913561399458944,4.967729779290819,1.9497392635979143,1.9390947618743462,1.9606019890770385,0.22258215430660883,0.21803726263885742,0.22672802182990792,-2.991775392828702,1.0,1.0,0.0,0.0,0.0,6.129015167249007,0.004730854445423595
0.35_vs_0.707,0.35,0.707,0.06,0.0036,5.474601947547314,5.036963089279445,5.019696421741983,5.056017715592271,1.9830893099721214,1.9739823880098235,1.992764716715957,0.07993984995821231,0.07658108749482626,0.08316314407699557,-3.0538737793073234,1.0,1.0,0.0,0.0,0.0,3.349771818183767,0.0021673611968958473
0.15_vs_0.707,0.15,0.707,0.07,0.004900000000000001,6.940875909927004,3.126125005716397,3.072705889296163,3.1830999872668797,1.0857530725820026,1.061136841368355,1.1084088065757092,0.5496065559614256,0.5421869890966132,0.556406872591253,-2.0403719331343946,1.0,1.0,0.0,0.0,0.0,15.941986039705217,0.0187589060577894
0.25_vs_0.707,0.25,0.707,0.07,0.004900000000000001,6.356317498756673,4.577474926787104,4.542871888589994,4.609183769341068,1.617011387654301,1.6043415798913059,1.6295048876494964,0.27985426661231433,0.27415609419372455,0.2852657399050272,-2.9604635391328036,1.0,1.0,0.0,0.0,0.0,6.129015167249007,0.0064392185507154516
0.35_vs_0.707,0.35,0.707,0.07,0.004900000000000001,5.474601947547314,4.812464207678866,4.788185590362619,4.835314867213187,1.6885236291041559,1.6787440769239745,1.6980026480439603,0.12094719327769468,0.11620040401653349,0.1253764163925346,-3.1239405785747105,1.0,1.0,0.0,0.0,0.0,3.349771818183768,0.0029500194068860152
0.15_vs_0.707,0.15,0.707,0.08,0.0064,6.940875909927004,2.5597549737330336,2.498786275843188,2.6161307904627793,0.7154845075267418,0.6886980105224186,0.7435764290882731,0.6312057718721044,0.6225442345564144,0.6394903099254285,-1.8442704662062919,1.0,1.0,0.0,0.0,0.0,15.941986039705217,0.024501428320377997
0.25_vs_0.707,0.25,0.707,0.08,0.0064,6.356317498756673,4.261249724702713,4.2182375762143645,4.310087197333722,1.3385817396805109,1.3206839716374261,1.3520312238789352,0.32960401592018734,0.32284133900922385,0.33744735549126054,-2.9226679850222013,1.0,1.0,0.0,0.0,0.0,6.129015167249007,0.008410407902975287
0.35_vs_0.707,0.35,0.707,0.08,0.0064,5.474601947547314,4.628969643133539,4.602452723503265,4.659346867648529,1.4449249908614705,1.4338204174235278,1.4542521508494128,0.15446461907474923,0.1486302871832947,0.16010401341187547,-3.1840446522720685,1.0,1.0,0.0,0.0,0.0,3.349771818183768,0.0038530865722592868
0.15_vs_0.707,0.15,0.707,0.085,0.007225000000000001,6.940875909927004,2.294338679798474,2.2260426967439155,2.363198353342748,0.5733755067441406,0.5472242695635366,0.5994391696092721,0.6694453683407512,0.6598353692460611,0.678846649509364,-1.7209631730543333,1.0,0.9944444444444445,0.005555555555555556,0.0,0.016666666666666666,15.941986039705217,0.02765981556480172
0.25_vs_0.707,0.25,0.707,0.085,0.007225000000000001,6.356317498756673,4.120302585092834,4.072802597474826,4.168077444154615,1.2351308963577345,1.2192961519845493,1.248936729942105,0.35177835501470994,0.34443052453729184,0.35890216981377027,-2.8851716887351007,1.0,1.0,0.0,0.0,0.0,6.129015167249007,0.009494562046718193
0.35_vs_0.707,0.35,0.707,0.085,0.007225000000000001,5.474601947547314,4.535060866855234,4.506631334862411,4.566560639038982,1.3591320292214815,1.3490925685614699,1.3699298639712516,0.17161815410397224,0.1650034414698476,0.17779762332199486,-3.175928837633752,1.0,1.0,0.0,0.0,0.0,3.349771818183767,0.004349773513214584
0.15_vs_0.707,0.15,0.707,0.09,0.0081,6.940875909927004,1.9959660828607553,1.9288085637469339,2.0707005613331244,0.44954120187201246,0.42251789365336806,0.47359111740541976,0.7124331123675504,0.7039084599824248,0.7229262773013113,-1.546424880988743,1.0,0.9888888888888889,0.011111111111111112,0.0,0.027777777777777776,15.941986039705217,0.031009620217978387
0.25_vs_0.707,0.25,0.707,0.09,0.0081,6.356317498756673,3.891164851224932,3.849616038599518,3.9401220196315117,1.1346244078292531,1.1212475846853636,1.14915436433596,0.38782717320428634,0.37953782799667307,0.39526708158825324,-2.756540443395679,1.0,1.0,0.0,0.0,0.0,6.129015167249007,0.010644422502203089
0.35_vs_0.707,0.35,0.707,0.09,0.0081,5.474601947547314,4.395438671226616,4.358035823255626,4.4277701960357865,1.2697521390638682,1.261556686229924,1.2793952655130425,0.1971217792015319,0.19043202827976774,0.20325434216286364,-3.1256865321627485,1.0,1.0,0.0,0.0,0.0,3.349771818183768,0.00487656269301566
0.15_vs_0.707,0.15,0.707,0.095,0.009025,6.940875909927004,1.6962457572917091,1.6389407581399082,1.7675492402334325,0.2856540023689656,0.2636407888029352,0.3101330293828908,0.7556150290965873,0.7457446246229271,0.7649402828058022,-1.410591754922744,1.0,0.95,0.05,0.022222222222222223,0.08347222222222209,15.941986039705217,0.03455084227990801
0.25_vs_0.707,0.25,0.707,0.095,0.009025,6.356317498756673,3.757903244150481,3.7056489049813446,3.8086870729864954,1.0274434446279688,1.0128469952666674,1.0419230892246973,0.40879239514301396,0.4017176480825985,0.41720985062116867,-2.730459799522512,1.0,1.0,0.0,0.0,0.0,6.129015167249007,0.011859989269429988
0.35_vs_0.707,0.35,0.707,0.095,0.009025,5.474601947547314,4.33430470917615,4.295724240290577,4.3710110856589015,1.1904168919902547,1.1798134684662813,1.2001613039775372,0.2082886115367769,0.20111785017398384,0.21648940665777885,-3.143887817185896,1.0,1.0,0.0,0.0,0.0,3.349771818183767,0.005433454111662509
0.15_vs_0.707,0.15,0.707,0.1,0.010000000000000002,6.940875909927004,1.4118864851700954,1.3519538234351265,1.4848607313827404,0.15290934850278995,0.12386401607533867,0.1827703020832671,0.7965838168708962,0.7869394115376891,0.8067762939765613,-1.2589771366673053,0.9944444444444445,0.7944444444444444,0.2,0.15,0.2611111111111111,15.941986039705217,0.03828348175059062
0.25_vs_0.707,0.25,0.707,0.1,0.010000000000000002,6.356317498756673,3.5568484141982464,3.504358468039418,3.608725808159991,0.9396585615268217,0.9250347258872755,0.9582839223435959,0.4404231042747654,0.4318026690127295,0.4481371388205819,-2.6171898526714243,1.0,1.0,0.0,0.0,0.0,6.129015167249007,0.01314126234839888
0.35_vs_0.707,0.35,0.707,0.1,0.010000000000000002,5.474601947547314,4.175221271718732,4.1371643003542085,4.212716474335481,1.1093618959539742,1.0987126958180042,1.1208912963774103,0.23734705980052506,0.22984970230330687,0.2438963916429459,-3.0658593757647576,1.0,1.0,0.0,0.0,0.0,3.349771818183767,0.006020447769155133
0.15_vs_0.707,0.15,0.707,0.105,0.011024999999999998,6.940875909927004,1.111158167037387,1.025009743431429,1.1937365285990025,0.024385662522087168,-0.005024670975568514,0.05446106407551103,0.8399109591560076,0.8286318475830512,0.8505893248557521,-1.0867725045152998,0.9777777777777777,0.5555555555555556,0.42777777777777776,0.36097222222222225,0.5055555555555555,15.941986039705217,0.04220753863002614
0.25_vs_0.707,0.25,0.707,0.105,0.011024999999999998,6.356317498756673,3.41761151004731,3.345985279490527,3.4760495529236,0.8545457460146832,0.8405143654363045,0.8710428751237964,0.4623283826341569,0.4528897704435612,0.4725239172569785,-2.5630657640326273,1.0,1.0,0.0,0.0,0.0,6.129015167249007,0.014488241739109758
0.35_vs_0.707,0.35,0.707,0.105,0.011024999999999998,5.474601947547314,4.098412934253152,4.0579154783767555,4.141007862943365,1.0403771203360703,1.0298963485312584,1.0509955725291065,0.2513769999133381,0.24321159701031766,0.2593870629916979,-3.0580358139170825,1.0,1.0,0.0,0.0,0.0,3.349771818183767,0.006637543665493532
0.15_vs_0.707,0.15,0.707,0.11,0.0121,6.940875909927004,0.821689689138468,0.7466161439496729,0.89923819697058,-0.0626265852490416,-0.09149933310405628,-0.029973894075793726,0.8816158508231982,0.8691528223145856,0.8931229184704933,-0.8843162743875095,0.9277777777777778,0.4444444444444444,0.49444444444444446,0.42208333333333337,0.5666666666666667,15.941986039705217,0.04632301291821463
0.25_vs_0.707,0.25,0.707,0.11,0.0121,6.356317498756673,3.185426133835223,3.1307477857213697,3.243862902557243,0.7876186341364972,0.7724830734857833,0.8030760974925786,0.4988566674873764,0.48902301458381947,0.5076886081111706,-2.3978074996987258,1.0,1.0,0.0,0.0,0.0,6.129015167249007,0.01590092744156264
0.35_vs_0.707,0.35,0.707,0.11,0.0121,5.474601947547314,3.9558183318516122,3.9102373119964913,3.9980855999144302,0.9830158210384768,0.9730083597414515,0.9938876004558839,0.2774235698316177,0.2687552712154893,0.28643036837394364,-2.9728025108131355,1.0,1.0,0.0,0.0,0.0,3.349771818183767,0.007284741800677712
0.15_vs_0.707,0.15,0.707,0.115,0.013225,6.940875909927004,0.5512463243218302,0.4628804141419409,0.6467277805647992,-0.20521916518440375,-0.24172188147670243,-0.17212314264200498,0.9205797176789423,0.907900427695635,0.9315052440519785,-0.7564654895062339,0.8111111111111111,0.20555555555555555,0.6111111111111112,0.5333333333333333,0.6722222222222223,15.941986039705217,0.050629904615156075
0.25_vs_0.707,0.25,0.707,0.115,0.013225,6.356317498756673,3.010979898737097,2.9467307884346035,3.073677617415843,0.6954472835064263,0.6792119671178769,0.7109774911051987,0.5263012114599279,0.5177667777145948,0.5358890721816517,-2.3155326152306706,1.0,1.0,0.0,0.0,0.0,6.129015167249007,0.017379319455757516
0.35_vs_0.707,0.35,0.707,0.115,0.013225,5.474601947547314,3.823456605627622,3.777910132430132,3.871389215126159,0.9100701838620108,0.899242231726808,0.9209572616888525,0.3016009853756446,0.29274684846790927,0.3101663604651788,-2.9133864217656114,1.0,1.0,0.0,0.0,0.0,3.349771818183767,0.007962042174707666
0.15_vs_0.707,0.15,0.707,0.12,0.0144,6.940875909927004,0.21237226680430588,0.12436623834848472,0.30244228653250504,-0.31410916246638465,-0.34946876836117313,-0.27779719331856384,0.9694026705620012,0.9567048169742346,0.9832212325237596,-0.5264814292706905,0.6611111111111111,0.08333333333333333,0.5833333333333334,0.5111111111111111,0.65,15.941986039705217,0.05512821372085048
0.25_vs_0.707,0.25,0.707,0.12,0.0144,6.356317498756673,2.814995167876316,2.743127844212681,2.891675683578222,0.6248262731415906,0.607973086688471,0.6419862501447625,0.5571342733545103,0.5451034591271156,0.5697530145733467,-2.190168894734725,1.0,1.0,0.0,0.0,0.0,6.129015167249007,0.01892341778169438
0.35_vs_0.707,0.35,0.707,0.12,0.0144,5.474601947547314,3.6920906205210877,3.6408812537261355,3.7406557917181185,0.8621706137711639,0.8516955563312338,0.8755902228623896,0.3255965171723239,0.31660384706678696,0.33652411606158805,-2.8299200067499237,1.0,1.0,0.0,0.0,0.0,3.349771818183767,0.00866944478758339
0.15_vs_0.707,0.15,0.707,0.125,0.015625,6.940875909927004,-0.07651300495350778,-0.17717574974005637,0.032865224730173705,-0.4375581601746412,-0.47189398546042427,-0.40229903524337296,1.0110235373671035,0.997080676272038,1.0258635632019368,-0.3610451552211335,0.48333333333333334,0.027777777777777776,0.4666666666666667,0.3943055555555556,0.5390277777777777,15.941986039705217,0.05981794023529783
0.25_vs_0.707,0.25,0.707,0.125,0.015625,6.356317498756673,2.6895421743741568,2.6145647877972733,2.7623521057025866,0.5614299292545026,0.5423162595734435,0.5788730401128778,0.5768710145614587,0.5656741006417114,0.5873976221750445,-2.128112245119654,1.0,1.0,0.0,0.0,0.0,6.129015167249007,0.020533222419373248
0.35_vs_0.707,0.35,0.707,0.125,0.015625,5.474601947547314,3.615083913440181,3.5583772680596963,3.662295960098231,0.8052317831031905,0.7928567124249428,0.8176561585177753,0.33966269181272996,0.33009903491167897,0.34967187657344123,-2.80985213033699,1.0,1.0,0.0,0.0,0.0,3.349771818183767,0.009406949639304897
0.15_vs_0.707,0.15,0.707,0.13,0.016900000000000002,6.940875909927004,-0.30253971845004934,-0.4098302740654768,-0.200438963373366,-0.48013125562171866,-0.5166757893038493,-0.44290063101167393,1.04358811803815,1.0279396797760776,1.0576311278978352,-0.17759153717166928,0.34444444444444444,0.011111111111111112,0.3333333333333333,0.2722222222222222,0.4,15.941986039705208,0.06469908415849814
0.25_vs_0.707,0.25,0.707,0.13,0.016900000000000002,6.356317498756673,2.441506951100633,2.3705046898504794,2.5197049217453125,0.4956674743173723,0.47740724227568615,0.5106212033101827,0.6158928575266727,0.6035605187663468,0.6276911423485021,-1.9458394767832607,1.0,1.0,0.0,0.0,0.0,6.129015167249007,0.02220873336879411
0.35_vs_0.707,0.35,0.707,0.13,0.016900000000000002,5.474601947547314,3.422449337779115,3.364630436057185,3.4771676892753884,0.758726494116706,0.7458427235157101,0.7695970343327833,0.3748496474136511,0.36497350596322414,0.3852937392989154,-2.66372284366241,1.0,1.0,0.0,0.0,0.0,3.349771818183767,0.010174556729872178
0.15_vs_0.707,0.15,0.707,0.135,0.018225,6.940875909927004,-0.6482828753328537,-0.7505071623304771,-0.551128624534091,-0.6346655519847266,-0.6713167211918797,-0.5958565865810207,1.0934007297847905,1.0787288163855002,1.108047477811606,0.013617323348127049,0.17777777777777778,0.005555555555555556,0.17222222222222222,0.12222222222222222,0.22777777777777777,15.941986039705217,0.06977164549045138
0.25_vs_0.707,0.25,0.707,0.135,0.018225,6.356317498756673,2.339212962334163,2.271990097498003,2.4147263710179985,0.4477346551454264,0.4294621668767202,0.46402919732035863,0.6319861361878596,0.6214449321852669,0.6446600949782936,-1.891478307188737,1.0,1.0,0.0,0.0,0.0,6.129015167249007,0.023949950629956952
0.35_vs_0.707,0.35,0.707,0.135,0.018225,5.474601947547314,3.3586484512507075,3.307498532985655,3.4168156604378863,0.7145539600313181,0.7026451130379668,0.7280545374420944,0.3865036246597943,0.37680276266328383,0.3961634709544395,-2.6440944912193904,1.0,1.0,0.0,0.0,0.0,3.349771818183768,0.010972266059285229
0.15_vs_0.707,0.15,0.707,0.14,0.019600000000000003,6.940875909927004,-0.9224612600393426,-1.0243947934767172,-0.8256447714428854,-0.7416022039979498,-0.7774450177563726,-0.6991456284272346,1.1329027160275287,1.1188327682470351,1.1466733297699536,0.18085905604139285,0.1,0.0,0.1,0.06111111111111111,0.14444444444444443,15.941986039705217,0.0750356242311576
0.25_vs_0.707,0.25,0.707,0.14,0.019600000000000003,6.356317498756673,2.159570380950437,2.087955300058841,2.24276617974342,0.37566831433032555,0.35883914532883493,0.3977068560827193,0.6602481890854476,0.6502506703806572,0.6728327107456191,-1.7839020666201115,1.0,0.9888888888888889,0.011111111111111112,0.0,0.027916666666666538,6.129015167249007,0.025756874202861806
0.35_vs_0.707,0.35,0.707,0.14,0.019600000000000003,5.474601947547314,3.2457758306297744,3.1947342483879937,3.304934911970959,0.6581958486789873,0.6452222233623308,0.6732218510105584,0.4071211273937608,0.39541138773149137,0.41724445898587714,-2.587579981950787,1.0,1.0,0.0,0.0,0.0,3.349771818183768,0.011800077627544061
0.15_vs_0.707,0.15,0.707,0.15,0.0225,6.940875909927004,-1.5260115566937171,-1.6383287746703308,-1.4236316443516437,-0.9362144272180032,-0.9803620150686672,-0.8962441099113371,1.2198586426982767,1.2057964545760804,1.2340602643666958,0.5897971294757137,0.016666666666666666,0.0,0.016666666666666666,0.0,0.03333333333333333,15.941986039705217,0.08613783393882889
0.25_vs_0.707,0.25,0.707,0.15,0.0225,6.356317498756673,1.7464371919008543,1.6588221463768111,1.8227553621710475,0.25263034528644035,0.22961511998378153,0.2707510815696986,0.7252438708037373,0.7125311739389476,0.7380336417663153,-1.4938068466144137,1.0,0.9611111111111111,0.03888888888888889,0.016666666666666666,0.07222222222222222,6.129015167249007,0.029567840283897476
0.35_vs_0.707,0.35,0.707,0.15,0.0225,5.474601947547314,2.9739516396629697,2.909512711808989,3.04040616726789,0.570341649165314,0.5537938694984597,0.585165202043407,0.4567729913230797,0.4456433201520068,0.46814680470166875,-2.4036099904976562,1.0,1.0,0.0,0.0,0.0,3.349771818183767,0.01354600748059905
0.15_vs_0.707,0.15,0.707,0.16,0.0256,6.940875909927004,-2.06491084497788,-2.1877691123221488,-1.9440061515661868,-1.0882883638857743,-1.1343625231594985,-1.0472881052097542,1.2975000377149226,1.2804055418681604,1.3135280152871434,0.9766224810921058,0.005555555555555556,0.0,0.005555555555555556,0.0,0.016666666666666666,15.941986039705217,0.09800571328151199
0.25_vs_0.707,0.25,0.707,0.16,0.0256,6.356317498756673,1.4100336951680672,1.3317867127983525,1.4933434034212505,0.16301538848704006,0.13978193068930406,0.18472425560402692,0.7781681460304843,0.7653832812239997,0.7918716665063382,-1.247018306681027,0.9833333333333333,0.8722222222222222,0.1111111111111111,0.06666666666666667,0.1612499999999999,6.129015167249007,0.033641631611901146
0.35_vs_0.707,0.35,0.707,0.16,0.0256,5.474601947547314,2.7384877724355228,2.6780147153226186,2.809425969986459,0.4965520984331912,0.47999005476656015,0.5103989551891064,0.4997832173602325,0.4871556602775515,0.512783239410669,-2.2419356740023315,1.0,1.0,0.0,0.0,0.0,3.349771818183768,0.015412346289037147
